selector,pool_size,n_train,mean_error,std_error,mean_m,std_m
stepwise,10,10,0.4128888888888889,0.10393160143949375,2.88,2.658119636133784
uniform_all,10,10,0.40222222222222226,0.11830072581516592,2.88,2.658119636133784
random_m,10,10,0.4317333333333333,0.06658111547782603,2.88,2.658119636133784
stepwise,10,20,0.396,0.12955307792561319,1.12,1.3948476619330155
uniform_all,10,20,0.39399999999999996,0.12196925842194827,1.12,1.3948476619330155
random_m,10,20,0.44694999999999996,0.06205323319537831,1.12,1.3948476619330155
stepwise,10,50,0.37759999999999994,0.13603764184959985,0.96,1.148216007552586
uniform_all,10,50,0.38880000000000003,0.13375559801369064,0.96,1.148216007552586
random_m,10,50,0.42228,0.08379189459607653,0.96,1.148216007552586
stepwise,10,80,0.314,0.15844241856270685,1.6,1.131370849898476
uniform_all,10,80,0.306,0.15383107618423528,1.6,1.131370849898476
random_m,10,80,0.3734,0.10221027345624313,1.6,1.131370849898476
stepwise,20,10,0.35466666666666663,0.10735518526121193,5.08,2.225668438918969
uniform_all,20,10,0.3502222222222222,0.11292387909178378,5.08,2.225668438918969
random_m,20,10,0.38720000000000004,0.04951829191892528,5.08,2.225668438918969
stepwise,20,20,0.342,0.11390127303941779,5.16,4.144200767337413
uniform_all,20,20,0.2955,0.11274307074051158,5.16,4.144200767337413
random_m,20,20,0.36534999999999995,0.07102488120370212,5.16,4.144200767337413
stepwise,20,50,0.2848,0.15339152518962706,1.76,1.4221111067704943
uniform_all,20,50,0.2432,0.155504855229668,1.76,1.4221111067704943
random_m,20,50,0.37436,0.0882885632457568,1.76,1.4221111067704943
stepwise,20,80,0.21400000000000002,0.14595889832415151,2.84,1.803995565404749
uniform_all,20,80,0.24200000000000002,0.13833293172632466,2.84,1.803995565404749
random_m,20,80,0.32770000000000005,0.08400571409136405,2.84,1.803995565404749
stepwise,50,10,0.34444444444444444,0.08726290629365271,5.92,1.4945233353815524
uniform_all,50,10,0.3124444444444444,0.0852777596815037,5.92,1.4945233353815524
random_m,50,10,0.3746888888888889,0.04419515642977013,5.92,1.4945233353815524
stepwise,50,20,0.26749999999999996,0.130862523283024,10.76,0.8138795979750323
uniform_all,50,20,0.229,0.06761286859762718,10.76,0.8138795979750323
random_m,50,20,0.289875,0.03490791457535097,10.76,0.8138795979750323
stepwise,50,50,0.14800000000000002,0.09765244492586962,12.08,8.979621372864226
uniform_all,50,50,0.1552,0.06771233270239625,12.08,8.979621372864226
random_m,50,50,0.23836000000000002,0.06437818263977323,12.08,8.979621372864226
stepwise,50,80,0.15,0.08485281374238571,5.4,2.6683328128252666
uniform_all,50,80,0.134,0.0913454979733539,5.4,2.6683328128252666
random_m,50,80,0.2707,0.0426,5.4,2.6683328128252666
stepwise,100,10,0.35155555555555557,0.10265031134757015,5.76,0.8138795979750323
uniform_all,100,10,0.28755555555555556,0.0765503142859907,5.76,0.8138795979750323
random_m,100,10,0.3744444444444444,0.024877477542727056,5.76,0.8138795979750323
stepwise,100,20,0.21599999999999997,0.088,10.8,0.9797958971132712
uniform_all,100,20,0.21950000000000003,0.052806249630133736,10.8,0.9797958971132712
random_m,100,20,0.29359999999999997,0.02812765543019895,10.8,0.9797958971132712
stepwise,100,50,0.1464,0.06541437150963082,23.24,6.652999323613373
uniform_all,100,50,0.13520000000000001,0.05193226357477594,23.24,6.652999323613373
random_m,100,50,0.1978,0.04439008898391621,23.24,6.652999323613373
stepwise,100,80,0.07600000000000001,0.053141321022345686,20.68,15.162374484229046
uniform_all,100,80,0.11599999999999999,0.088,20.68,15.162374484229046
random_m,100,80,0.183,0.06042350536008318,20.68,15.162374484229046
stepwise,200,10,0.31333333333333335,0.09797958971132713,5.48,0.64
uniform_all,200,10,0.2702222222222222,0.08295290944376324,5.48,0.64
random_m,200,10,0.3733555555555556,0.02477128963383733,5.48,0.64
stepwise,200,20,0.213,0.08649277426467485,10.84,1.0836973747315253
uniform_all,200,20,0.20400000000000001,0.04354882317583335,10.84,1.0836973747315253
random_m,200,20,0.2859,0.021744309600444878,10.84,1.0836973747315253
stepwise,200,50,0.1288,0.06426943285886379,25.68,0.9682974749528164
uniform_all,200,50,0.1304,0.04529724053405461,25.68,0.9682974749528164
random_m,200,50,0.17928,0.028103409045879116,25.68,0.9682974749528164
stepwise,200,80,0.09600000000000002,0.0662117814289874,39.36,6.88116269245249
uniform_all,200,80,0.126,0.08014985963805552,39.36,6.88116269245249
random_m,200,80,0.1441,0.04287703347947477,39.36,6.88116269245249
