selector,pool_size,n_train,mean_error,std_error,mean_m,std_m
stepwise,10,10,0.2149090909090909,0.14793074099804748,4.8,1.9183326093250879
uniform_all,10,10,0.20727272727272728,0.14022414170660977,4.8,1.9183326093250879
random_m,10,10,0.26034545454545455,0.10870349998546923,4.8,1.9183326093250879
stepwise,10,20,0.11,0.11352532757054701,3.96,2.5687350972803715
uniform_all,10,20,0.1128,0.11477003093142389,3.96,2.5687350972803715
random_m,10,20,0.23348,0.11076366552258914,3.96,2.5687350972803715
stepwise,10,50,0.08914285714285715,0.11265116827750042,2.52,1.2039933554633928
uniform_all,10,50,0.10342857142857141,0.12728114469912016,2.52,1.2039933554633928
random_m,10,50,0.2343714285714286,0.11106797330408778,2.52,1.2039933554633928
stepwise,10,80,0.055,0.07681145747868609,2.48,0.9431860898041277
uniform_all,10,80,0.059000000000000004,0.07137226352022191,2.48,0.9431860898041277
random_m,10,80,0.2446,0.09703203079395999,2.48,0.9431860898041277
stepwise,20,10,0.12436363636363636,0.11082619853171784,5.4,0.6324555320336759
uniform_all,20,10,0.084,0.09406451100922684,5.4,0.6324555320336759
random_m,20,10,0.2229818181818182,0.07270489201088225,5.4,0.6324555320336759
stepwise,20,20,0.0432,0.07806253903121523,8.24,3.265333061113368
uniform_all,20,20,0.0316,0.07181531870012137,8.24,3.265333061113368
random_m,20,20,0.12110000000000001,0.08765169707427234,8.24,3.265333061113368
stepwise,20,50,0.017142857142857144,0.02996596709057576,3.84,1.2862348152650822
uniform_all,20,50,0.021142857142857144,0.04123006630296559,3.84,1.2862348152650822
random_m,20,50,0.17634285714285716,0.08344063513562643,3.84,1.2862348152650822
stepwise,20,80,0.023,0.03234192325759246,3.6,1.296148139681572
uniform_all,20,80,0.026999999999999996,0.03994996871087636,3.6,1.296148139681572
random_m,20,80,0.19194999999999995,0.08568042366842032,3.6,1.296148139681572
stepwise,50,10,0.10654545454545455,0.1053453980606746,5.2,0.4898979485566356
uniform_all,50,10,0.04072727272727272,0.04879506816970287,5.2,0.4898979485566356
random_m,50,10,0.2215636363636364,0.032128893306865816,5.2,0.4898979485566356
stepwise,50,20,0.0356,0.03753185313836768,10.08,1.764539600009022
uniform_all,50,20,0.008,0.014422205101855958,10.08,1.764539600009022
random_m,50,20,0.10764000000000001,0.05903414605124733,10.08,1.764539600009022
stepwise,50,50,0.006285714285714287,0.018106262306005556,13.48,9.073566002405009
uniform_all,50,50,0.0,0.0,13.48,9.073566002405009
random_m,50,50,0.06971428571428571,0.06494927377011467,13.48,9.073566002405009
stepwise,50,80,0.008,0.018330302779823362,5.44,1.92
uniform_all,50,80,0.001,0.004898979485566357,5.44,1.92
random_m,50,80,0.1272,0.05868483620152654,5.44,1.92
stepwise,100,10,0.10181818181818182,0.11032633786384048,5.0,0.0
uniform_all,100,10,0.058909090909090904,0.08004626761241079,5.0,0.0
random_m,100,10,0.23478181818181817,0.04099286775295881,5.0,0.0
stepwise,100,20,0.04999999999999999,0.07293833011524188,10.24,0.4270831300812524
uniform_all,100,20,0.008400000000000001,0.018478095139921755,10.24,0.4270831300812524
random_m,100,20,0.09532,0.024494440185478823,10.24,0.4270831300812524
stepwise,100,50,0.006285714285714286,0.009963197585235825,25.68,0.8818163074019442
uniform_all,100,50,0.0,0.0,25.68,0.8818163074019442
random_m,100,50,0.011542857142857141,0.006130152976085025,25.68,0.8818163074019442
stepwise,100,80,0.001,0.004898979485566357,16.4,13.919770113044253
uniform_all,100,80,0.001,0.004898979485566357,16.4,13.919770113044253
random_m,100,80,0.061149999999999996,0.041977553525664166,16.4,13.919770113044253
stepwise,200,10,0.12472727272727273,0.09052719786737579,5.04,0.19595917942265426
uniform_all,200,10,0.034545454545454546,0.05424157778245926,5.04,0.19595917942265426
random_m,200,10,0.2318,0.02938979414694837,5.04,0.19595917942265426
stepwise,200,20,0.04680000000000001,0.05683097746827869,10.48,0.6997142273814361
uniform_all,200,20,0.011200000000000002,0.025972292929196682,10.48,0.6997142273814361
random_m,200,20,0.09691999999999998,0.023291062663605536,10.48,0.6997142273814361
stepwise,200,50,0.004,0.011794152823171596,25.36,0.7418894796396563
uniform_all,200,50,0.0,0.0,25.36,0.7418894796396563
random_m,200,50,0.01382857142857143,0.006249506102934235,25.36,0.7418894796396563
stepwise,200,80,0.0,0.0,40.48,0.6997142273814361
uniform_all,200,80,0.0,0.0,40.48,0.6997142273814361
random_m,200,80,0.00185,0.0022671568097509267,40.48,0.6997142273814361
